1361914580,929892165769195520,993922170563825664
236598427,607222024,59677846,5920532
1601128975,1336133979913773057,5920532
3682917315,3294111634,1467941704829480964
1400833896523218944,1437540680788754432,1412961327421681673
510761564,249846653,1427753676333064194
16172979,825732773856047106,1490240606345564172,1408529381111304196
21733692,1133197295342608384,4308165313
1228240920027508736,1444209448931762182,22395793,1472270456984113152
1011273546595643392,1436077979793301507,1465256027381772299,575124312
1387101177721069570,48760830,1396168728178528263
1492997618644840448,2156234204,124015341
842898558542057472,1447278079995518989,1281635537535873025
437571536,800078353201963009,1294710994632138755
2855137220,4226545156,131501526
560364126,1453743157963857926,3184023196,1451990511372455939,1311424941103943702
